FORMAT SKU Code	Product Name	ITEM	FORMAT	SKU SAP Code	SKU SAP NAME	Category	Sub Category	Case Pack	Per UNIT	Item Head	Brand	UOM	Per UNIT Value	Category Head	IS LITRE	IS LITRE OIL	PACKAGING COST EXC
QWRGGDFMZKGBZZYG	light-virgin-pomace-3L-shopsy	EXTRA LIGHT 1L+EXTRA VIRGIN 1L+POMACE 1L	FLIPKART			OLIVE	EXTRA VIRGIN		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
QWRGEMNNHGGYUYF4	Extra Light 1L+ Extra Virgin 1L_Shopsy	Extra Light 1L+ Extra Virgin 1L	FLIPKART			OLIVE	EXTRA VIRGIN		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGEMRYNAG8T2FV	Pomace olive oil 1+1+1L_Shopsy	JIVO POMACE olive oil 1+1+1L	FLIPKART			OLIVE	JIVO POMACE		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
QWRGGC46UKQKVCES	Extra light 1+1L-shopsy	EXTRA LIGHT 1+1L	FLIPKART			OLIVE	EXTRA LIGHT		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGEMQRYJBYZFUH	Extra Virgin 1L_Shopsy	EXTRA VIRGIN 1L	FLIPKART			OLIVE	EXTRA VIRGIN		1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
QWRGGMFGPMTG7FGK	Extra Light 1L+Pomace 1L-shopsy	EXTRA LIGHT 1L+POMACE 1L	FLIPKART			OLIVE	EXTRA LIGHT		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGEMRYGPGCDNKK	Mustard Oil 5L_Shopsy	MUSTARD 5L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
QWRGGC3SVFXSKZ94	Extra Light 1L-shopsy	EXTRA LIGHT 1L	FLIPKART			OLIVE	EXTRA LIGHT		1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
QWRGJNNV7XXV6HUS	Canola1L+pomace1L-shopsy	CANOLA 1L + POMACE 1L	FLIPKART			OLIVE	JIVO POMACE		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGGBUHZJQZWJZE	Canola-virgin-mustard-3pc-shopsy	CANOLA+EXTRA VIRGIN+MUSTARD 1L	FLIPKART			OLIVE	EXTRA VIRGIN		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
